"vuosi","syrtun","oty","toimiala","SLHKY","sllvy"
1,"0000480",1,"A","1","1"
1,"0000481",3,"N","7","1"
1,"0000482",1,"G","1","3"
1,"0000485",3,"N","9","1"
1,"0000486",1,"S","1","1"
1,"0000487",1,"G","6","7"
1,"0000489",1,"F","4","6"
1,"0000490",1,"G","2","5"
1,"0000493",1,"G","1","5"
1,"0000496",1,"G","4","6"
1,"0000503",1,"P","4","5"
1,"0000505",1,"M","2","5"
1,"0000506",1,"M","5","6"
1,"0000507",1,"D","1","4"
1,"0000509",1,"G","1","4"
1,"0000513",1,"I","2","4"
1,"0000516",1,"O","5","1"
1,"0000517",1,"L","4","5"
1,"0000518",1,"G","1","5"
1,"0000520",1,"S","6","1"
1,"0000524",1,"S","2","1"
1,"0000525",3,"E","6","7"
1,"0000529",1,"D","2","4"
1,"0000530",1,"M","4","6"
1,"0000531",1,"F","4","5"
1,"0000532",1,"F","3","6"
1,"0000533",1,"F","1","4"
1,"0000534",2,"O","9","1"
1,"0000535",1,"D","6","6"
1,"0000537",1,"F","5","6"
1,"0000538",1,"G","3","6"
1,"0000540",1,"K","5","1"
1,"0000544",1,"F","4","5"
1,"0000550",1,"S","4","1"
1,"0000553",1,"D","4","5"
1,"0000555",1,"P","1","4"
1,"0000560",1,"I","2","4"
1,"0000561",1,"D","4","5"
1,"0000569",1,"K","3","1"
1,"0000570",1,"M","4","5"
1,"0000571",1,"F","2","4"
1,"0000572",1,"F","1","3"
1,"0000573",1,"G","3","6"
1,"0000575",1,"G","1","5"
1,"0000579",1,"P","4","1"
1,"0000583",1,"S","1","1"
1,"0000584",1,"M","5","6"
1,"0000586",1,"G","4","6"
1,"0000587",1,"T","1","2"
1,"0000592",1,"D","6","7"
1,"0000597",1,"M","1","2"
1,"0000598",1,"H","8","8"
1,"0000599",1,"G","4","6"
1,"0000600",1,"O","6","6"
1,"0000606",1,"F","4","6"
1,"0000607",1,"G","7","8"
1,"0000610",5,"G","4","6"
1,"0000613",1,"R","4","1"
1,"0000617",1,"K","8","1"
1,"0000624",1,"D","5","6"
1,"0000625",1,"D","7","7"
1,"0000626",1,"H","1","4"
1,"0000627",1,"G","2","5"
1,"0000628",1,"H","3","5"
1,"0000631",1,"D","4","7"
1,"0000633",1,"L","1","3"
1,"0000634",1,"D","2","5"
1,"0000638",1,"H","1","3"
1,"0000640",1,"D","4","5"
1,"0000644",1,"G","3","6"
1,"0000648",1,"G","2","5"
1,"0000649",1,"M","5","6"
1,"0000650",1,"M","2","4"
1,"0000652",1,"G","3","5"
1,"0000653",1,"M","1","2"
1,"0000654",1,"D","3","5"
1,"0000655",2,"D","9","9"
1,"0000656",1,"R","1","5"
1,"0000657",1,"G","2","4"
1,"0000658",1,"D","5","6"
1,"0000659",1,"G","1","5"
1,"0000663",1,"D","4","6"
1,"0000665",1,"L","3","5"
1,"0000667",1,"G","3","5"
1,"0000669",1,"O","4","1"
1,"0000670",1,"D","6","6"
1,"0000676",1,"D","6","6"
1,"0000677",1,"P","4","1"
1,"0000679",1,"I","7","7"
1,"0000681",1,"S","7","1"
1,"0000682",5,"M","5","6"
1,"0000692",1,"I","1","4"
1,"0000697",1,"D","6","6"
1,"0000701",1,"K","6","1"
1,"0000704",1,"G","5","7"
1,"0000705",1,"D","8","8"
1,"0000707",1,"M","3","5"
1,"0000710",3,"N","7","1"
1,"0000711",1,"G","4","5"
1,"0000713",1,"L","7","6"
1,"0000715",1,"L","9","8"
1,"0000716",1,"H","4","5"
1,"0000717",1,"S","3","4"
1,"0000720",1,"I","2","5"
1,"0000721",1,"M","1","2"
1,"0000724",1,"F","5","6"
1,"0000727",1,"G","3","6"
1,"0000728",1,"K","7","1"
1,"0000731",1,"D","4","6"
1,"0000732",1,"G","2","4"
1,"0000736",1,"D","5","6"
1,"0000738",1,"L","1","1"
1,"0000740",1,"G","7","8"
1,"0000742",1,"D","2","6"
1,"0000743",1,"F","4","5"
1,"0000745",1,"G","7","7"
